sqrtom 220.0K

11209.4219197 3.2655
9717.18625922 3.3217
8422.7932008 3.4081
7299.88512983 3.4453
6326.94030255 3.4744
5483.90461585 3.5791
4752.68883679 3.6146
4119.42069685 3.6479
3569.9878259 3.6912
3094.54402565 3.7368
2683.02914752 3.7768
2325.40271156 3.7858
2015.75621202 3.8089
1746.06047282 3.8264
1514.30225177 3.8221
1312.52571309 3.8475
1136.72206736 3.8497
984.916737382 3.8357
855.050549584 3.8385
741.169756683 3.8455
641.280563825 3.9157
557.374034494 3.8872
481.46189417 3.9146
417.532345493 3.8909
361.58927398 3.9034
313.649218642 3.906
271.700467747 3.8922
235.737694839 3.9248
203.773616397 3.8811
177.790462746 3.9399
