sqrtom 240.5K

7759.34060143 1.556
6864.36388707 1.5869
6073.23494595 1.6294
5372.02663023 1.6349
4752.68883679 1.6505
4203.29498908 1.6503
3719.87351962 1.633
3290.37332271 1.6649
2910.71246746 1.6728
2575.1259723 1.65
2277.46181152 1.6729
2013.76032067 1.691
1782.01702744 1.6737
1576.24870056 1.695
1394.43800759 1.6912
1234.62575525 1.6919
1090.77218967 1.6949
964.937941357 1.71
855.050549584 1.6945
755.156870114 1.6872
669.250972821 1.7142
591.325245132 1.7039
523.399349821 1.7191
463.46872181 1.7151
409.540411425 1.703
361.58927398 1.7204
319.6417937 1.7284
283.659075377 1.726
249.713524389 1.701
