sqrtom 270.0K

11209.4219197 0.72074
9737.21039545 0.72861
8458.52416754 0.72723
7347.79931051 0.72088
7347.79931051 0.73926
6382.90139112 0.74065
5545.82654603 0.73096
4816.64130159 0.73069
4185.31866384 0.73832
3635.90729892 0.74992
3158.45109384 0.75168
2742.89738904 0.74127
2383.34086462 0.74416
2069.69186475 0.74873
1798.00570195 0.75526
1562.25494101 0.7448
1356.47735595 0.7347
1178.67514747 0.74981
1024.87076639 0.75574
889.022991711 0.7479
773.135348971 0.75036
671.252400181 0.74925
583.333923821 0.75498
507.41735043 0.74956
439.511375375 0.75432
381.567778957 0.76224
331.63364669 0.75428
287.684057372 0.74571
249.713524389 0.75741
