T(K) D*R0

369.1 1118.71754523
335.0 0.00886420852954
320.0 2755.87478904
302.0 1076.09405125
280.0 2126.63088199
270.0 2284.80552948
260.0 2410.61021585
250.0 2605.76329539
240.0 2640.2199777
235.0 2611.24374009
230.1 3111.81197556
220.0 4411.87624664
215.0 3447.55911585
212.0 3248.73749781
210.0 2765.35322604
