nu(Mhz) 202.5K

19.998 0.22255
12.926 0.32097
8.3516 0.59921
8.3516 0.86458
19.998 0.20723
2.9994 1.1725
2.4055 1.4397
1.9298 1.7152
1.5478 2.0406
1.2414 2.5171
0.99568 3.169
0.79822 3.9526
0.6403 5.0475
0.51337 5.8041
0.41163 7.3387
0.3302 9.4275
0.26508 10.782
0.21295 13.279
0.17044 17.008
0.13675 21.426
0.13617 20.838
0.1213 33.693
0.10835 28.66
0.096615 27.649
0.086022 32.412
0.076926 32.511
0.068754 40.657
0.061437 43.001
0.054531 45.261
0.048738 58.087
0.0436 69.392
0.038753 98.433
0.034779 81.844
0.031023 76.449
0.027481 106.04
0.024651 140.04
0.021976 116.46
0.019674 128.84
0.017501 184.93
0.015657 138.71
0.013914 205.32
0.012447 147.49
0.011068 219.33
0.0099244 253.28
0.008842 250.59
0.0078257 217.53
0.0070025 222.57
0.006225 262.21
0.0056101 190.48
0.0050308 372.45
