181.0 -15.0 45.1271954826 1.45605576575e-20 0.756809088175
229.9 -13.37 2400.0 1.45605576575e-20 1716.95627813
235.0 -13.24 2150.16805839 1.45605576575e-20 2075.01098573
240.9 -12.78 900.832013541 1.45605576575e-20 2507.21631981
245.0 -12.58 595.61601429 1.45605576575e-20 2627.32840082
250.0 -12.22 260.195238989 1.45605576575e-20 2629.34358213
255.1 -11.9 122.522832445 1.45605576575e-20 2586.81292674
258.0 -11.85 109.0 1.45605576575e-20 2582.10852968
260.0 -11.5 51.0 1.45605576575e-20 2704.69420479
273.1 -10.7700813974 9.64054822209 1.45605576575e-20 2745.16421094
300.0 -10.42 2.3 1.45605576575e-20 1466.47893971
330.0 -9.9 0.81 1.45605576575e-20 1710.1453083
379.9 -9.90623919646 0.446634530853 1.45605576575e-20 929.525042694
383.0 -9.73834030366 0.376231509052 1.45605576575e-20 1152.55817434
