T(K) D*R0

383.0 1152.55813196
379.9 264090.458355
330.0 2044.43588565
300.0 2317.80465323
273.1 2745.16420849
260.0 2754.65778723
258.0 2530.29948651
255.1 2558.8856745
250.0 2637.66394047
245.0 3255.27936665
240.9 2418.94296928
235.0 2056.49608426
229.9 1828.6802847
181.0 627.486511403
