SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/40/pdata/992/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 390 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.125e+00     7.642e-02  
T     =       5.783s       39.473s  

RSS   =    1.489e-03
SD    =    7.046e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.021e+00     2.066e-02
    2       2.000s     8.817e-01     8.686e-01    -1.311e-02
    3       3.000s     7.573e-01     7.404e-01    -1.698e-02
    4       4.000s     6.427e-01     6.323e-01    -1.041e-02
    5       5.000s     5.435e-01     5.411e-01    -2.339e-03
    6       6.000s     4.601e-01     4.642e-01     4.115e-03
    7       7.000s     3.929e-01     3.993e-01     6.393e-03
    8       8.000s     3.371e-01     3.444e-01     7.328e-03
    9       9.000s     2.901e-01     2.981e-01     7.990e-03
   10      10.000s     2.510e-01     2.589e-01     7.846e-03
   11      11.000s     2.208e-01     2.257e-01     4.923e-03
   12      12.000s     1.938e-01     1.976e-01     3.776e-03
   13      13.000s     1.724e-01     1.738e-01     1.352e-03
   14      14.000s     1.552e-01     1.535e-01    -1.684e-03
   15      15.000s     1.386e-01     1.363e-01    -2.228e-03
   16      16.000s     1.258e-01     1.217e-01    -4.146e-03
   17      17.000s     1.120e-01     1.092e-01    -2.858e-03
   18      18.000s     1.029e-01     9.848e-02    -4.452e-03
   19      19.000s     9.460e-02     8.932e-02    -5.278e-03
   20      20.000s     8.685e-02     8.145e-02    -5.392e-03
   21      21.000s     7.995e-02     7.468e-02    -5.266e-03
   22      22.000s     7.150e-02     6.883e-02    -2.677e-03
   23      23.000s     6.571e-02     6.375e-02    -1.955e-03
   24      24.000s     6.023e-02     5.934e-02    -8.965e-04
   25      25.000s     5.511e-02     5.548e-02     3.723e-04
   26      26.000s     5.045e-02     5.210e-02     1.651e-03
   27      27.000s     4.738e-02     4.912e-02     1.737e-03
   28      28.000s     4.477e-02     4.647e-02     1.703e-03
   29      29.000s     3.987e-02     4.412e-02     4.252e-03
   30      30.000s     3.609e-02     4.202e-02     5.927e-03

============================================================

