
 0.000063  -36  54  64.899925
 0.000100  -13  91  91.923882
 0.000158  33  3  33.136082
 0.000251  61  -2  61.032780
 0.000398  14  -76  77.278717
 0.000631  71  -116  136.003677
 0.001000  108  -138  175.236984
 0.001585  89  -326  337.930481
 0.002512  126  -454  471.160278
 0.003981  266  -406  485.378204
 0.006310  219  -552  593.856018
 0.010000  30  -46  54.918121
 0.015850  229  -551  596.692566
 0.025120  247  -508  564.865479
 0.039810  77  -280  290.394562
 0.063100  366  -826  903.455566
 0.100000  181  -612  638.204529
 0.158500  439  -1221  1297.521484
 0.251200  684  -1595  1735.477173
 0.398100  1007  -2378  2582.427734
 0.631000  1212  -2907  3149.538574
 1.000000  1619  -3970  4287.430664
 1.585000  2089  -5260  5659.639648
 2.512000  2797  -7210  7733.518555
 3.981000  3342  -8263  8913.255859
 6.310000  3433  -8727  9377.954102
 10.000000  3623  -8867  9578.612305
 15.850000  3713  -9449  10152.337891
 25.510000  3630  -9365  10043.910156
 39.810001  3685  -9283  9987.658203
