T(K) D*R0

380.0 1260.04254745
280.0 1759.97812363
250.1 2927.63172685
220.0 2284.93889415
210.0 4009072.37623
200.1 1473.65330563
195.0 1840.78766698
190.1 3715.21197947
185.0 1878.04910482
180.0 5949.3544622
