180.0 -14.6016783737 57552.557034 2.12122781122e-20 3374.42278299
185.0 -15.3135660251 296450.56014 2.12122781122e-20 1878.0491048
190.1 -14.4733534434 42829.1734896 2.12122781122e-20 3715.21196556
195.0 -12.2067465318 231.81032825 2.12122781122e-20 6559.71494878
200.1 -11.8906885313 111.963065692 2.12122781122e-20 1852.80186423
210.0 -11.3328534741 30.9912950148 2.12122781122e-20 2136.04152803
220.0 -10.7712125375 8.50352098297 2.12122781122e-20 2284.9388935
250.1 -10.0952630741 1.79328503472 2.12122781122e-20 2927.63171535
280.0 -9.58399522675 0.552562587793 2.12122781122e-20 5804.89467496
380.0 -9.01250000255 0.14821298455 2.12122781122e-20 1565.88339888
