SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/5/pdata/992/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.088e+00     3.851e-02  
T     =       9.771s    213002799785681.062s  

RSS   =    1.211e-03
SD    =    6.354e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.021e+00     2.093e-02
    2       2.000s     9.272e-01     9.254e-01    -1.810e-03
    3       3.000s     8.487e-01     8.391e-01    -9.666e-03
    4       4.000s     7.739e-01     7.612e-01    -1.271e-02
    5       5.000s     7.027e-01     6.909e-01    -1.185e-02
    6       6.000s     6.343e-01     6.274e-01    -6.911e-03
    7       7.000s     5.735e-01     5.701e-01    -3.396e-03
    8       8.000s     5.196e-01     5.184e-01    -1.130e-03
    9       9.000s     4.663e-01     4.717e-01     5.448e-03
   10      10.000s     4.244e-01     4.296e-01     5.231e-03
   11      11.000s     3.848e-01     3.915e-01     6.701e-03
   12      12.000s     3.498e-01     3.572e-01     7.447e-03
   13      13.000s     3.195e-01     3.262e-01     6.751e-03
   14      14.000s     2.944e-01     2.982e-01     3.806e-03
   15      15.000s     2.685e-01     2.730e-01     4.443e-03
   16      16.000s     2.471e-01     2.501e-01     3.068e-03
   17      17.000s     2.281e-01     2.296e-01     1.415e-03
   18      18.000s     2.111e-01     2.110e-01    -1.408e-04
   19      19.000s     1.941e-01     1.942e-01     5.319e-05
   20      20.000s     1.800e-01     1.790e-01    -9.445e-04
   21      21.000s     1.691e-01     1.654e-01    -3.752e-03
   22      22.000s     1.568e-01     1.530e-01    -3.771e-03
   23      23.000s     1.440e-01     1.419e-01    -2.106e-03
   24      24.000s     1.352e-01     1.318e-01    -3.312e-03
   25      25.000s     1.244e-01     1.228e-01    -1.634e-03
   26      26.000s     1.182e-01     1.146e-01    -3.608e-03
   27      27.000s     1.065e-01     1.072e-01     6.503e-04
   28      28.000s     1.014e-01     1.005e-01    -9.316e-04
   29      29.000s     9.470e-02     9.446e-02    -2.443e-04
   30      30.000s     8.705e-02     8.902e-02     1.970e-03

============================================================

