omegatau 210.0K

74.3817096149 0.19589152
58.2169476394 0.184682005926
45.5521951022 0.183768502963
35.6409568979 0.174738564
35.6409568979 0.195109824
27.8933270785 0.238361084222
21.8343309307 0.21754896963
17.0834679599 0.237138291111
13.3714494482 0.296334518519
10.4587423375 0.257819986667
8.19136109036 0.234406286667
6.40899709158 0.255440002222
5.01531639388 0.257124897778
3.92551536792 0.236878666667
3.07044930014 0.266988278667
2.40057501763 0.227256032222
1.87985097792 0.296645719778
1.47078505016 0.440801931111
1.15106048978 0.323201298519
