nu(mhz) 210.0K

19.998 148993099.2
15.028 115981595.6
11.291 90540270.8
8.4811 71070769.89
6.371 54386678.6
4.7863 42008876.47
3.595 32671719.5
2.7008 25099344.64
2.0284 19248704.64
1.5241 14527111.56
1.1457 11146859.01
0.86063 8451644.789
0.64669 6451961.461
0.48522 4852005.912
0.36496 3692300.32
0.27418 2790878.22
0.20565 2096807.4
0.15439 1589136.27
0.11636 1200951.56
0.087429 907775.307
0.065451 681017.655
0.049444 513624.272
0.036893 383207.591
0.027746 291971.158
0.020809 218182.365
0.015657 164241.93
0.011749 122753.552
0.0088446 92700.2526
0.0066087 69708.5676
0.0050308 53401.942
