
 0.000063  -5115  3847  6400.205566
 0.000100  -5040  3771  6294.604004
 0.000158  -4927  3641  6126.353516
 0.000251  -4743  3510  5900.520996
 0.000398  -4386  3282  5478.003418
 0.000631  -3875  2915  4849.004883
 0.001000  -3150  2369  3941.403320
 0.001585  -2118  1570  2636.441650
 0.002512  -660  506  831.646545
 0.003981  1027  -774  1286.003540
 0.006310  2877  -2154  3594.001221
 0.010000  4391  -3309  5498.214355
 0.015850  5238  -3962  6567.654785
 0.025120  5548  -4212  6965.719727
 0.039810  5570  -4257  7010.488281
 0.063100  5529  -4251  6974.298828
 0.100000  5591  -4208  6997.609863
 0.158500  5572  -4250  7007.830078
 0.251200  5560  -4300  7028.769531
 0.398100  5608  -4229  7023.824219
 0.631000  5553  -4272  7006.125488
 1.000000  5588  -4247  7018.743164
