nu(mhz) 255.0K

19.998 285751422.0
14.763 305239788.0
10.898 337685428.0
10.898 328062494.0
8.0458 362712709.8
5.9361 408130619.4
4.3836 405881907.6
3.2358 394864674.0
2.3882 381586596.0
1.763 364764700.0
1.3007 329532345.0
0.961 294930900.0
0.70834 254924482.6
0.5237 199393538.0
0.38646 163816529.4
0.28514 132724115.8
0.21074 102192040.8
0.15564 81879091.2
0.11473 59790392.2
0.084624 47165186.4
0.062626 35664254.48
0.045963 28218524.22
0.033894 18940645.08
0.025154 15848529.24
0.018573 10903279.65
0.013725 8262724.5
0.010084 6280012.68
0.007409 4534233.91
0.0054932 3676543.828
0.0040628 2808573.012
0.0030236 1960834.836
