nu(mhz) 260.0K

19.998 360323964.0
15.09 371214000.0
11.387 393124788.0
8.5928 378899516.0
8.5928 391264555.2
6.4842 370085715.0
4.895 368035470.0
3.6924 346996982.4
2.7879 324344286.0
2.104 283093200.0
1.5877 239853839.0
1.1974 209952116.0
0.90405 169861954.5
0.68176 141956067.2
0.51452 118524827.2
0.38844 90222958.8
0.29285 72992862.5
0.22111 55874497.0
0.16717 42342489.3
0.12579 32604768.0
0.095133 26189163.57
0.071712 20234975.04
0.054157 16131745.59
0.040978 12029911.46
0.030744 9782740.8
0.023172 7131183.0
0.017504 5413112.0
0.013172 4052102.36
0.0099244 3065647.16
