nu(mhz) 310.0K

19.998 60411958.2
14.763 47222408.1
10.898 35908910.0
8.0458 28718678.52
8.0458 28326043.48
5.9361 21996218.55
4.3836 16748858.88
3.2358 12445210.38
2.3882 9155164.7
1.763 6967552.3
1.3007 5339633.64
0.961 4047828.1
0.70834 3005344.952
0.5237 2253690.58
0.38646 1670202.828
0.28514 1243153.372
0.21074 913768.64
0.15564 684302.388
0.11473 509779.809
0.084624 369172.2
0.062626 278541.6602
0.045963 205353.4914
0.033894 148177.7892
0.025154 113042.076
0.018573 82725.9993
0.013725 62089.155
0.010084 45454.6384
0.007409 33515.3524
0.0054932 24424.96448
0.0040628 18395.95212
0.0030236 13504.00232
