nu(mhz) 325.0K

19.998 36066393.0
14.763 27679148.7
10.898 20891466.0
8.0458 16432741.92
8.0458 16328146.52
5.9361 12868277.58
4.3836 9680742.24
3.2358 7164061.2
2.3882 5356016.14
1.763 4038856.7
1.3007 3078886.97
0.961 2322448.7
0.70834 1744287.25
0.5237 1306474.39
0.38646 955174.536
0.28514 717640.352
0.21074 539684.066
0.15564 394983.192
0.11473 290714.347
0.084624 218761.5024
0.062626 159414.483
0.045963 117357.3279
0.033894 86155.1586
0.025154 64902.3508
0.018573 47576.5968
0.013725 35527.1625
0.010084 25910.838
0.007409 19051.5026
0.0054932 14132.90496
0.0040628 10644.94228
0.0030236 7914.87772
