nu(mhz) 202.5K

19.998 4450554.9
12.926 4148858.22
8.3516 5004362.236
8.3516 7220626.328
19.998 4144185.54
2.9994 3516796.5
2.4055 3463198.35
1.9298 3309992.96
1.5478 3158440.68
1.2414 3124727.94
0.99568 3155309.92
0.79822 3155044.372
0.6403 3231914.25
0.51337 2979650.817
0.41163 3020829.081
0.3302 3112960.5
0.26508 2858092.56
0.21295 2827763.05
0.17044 2898843.52
0.13675 2930005.5
0.13617 2837510.46
0.1213 4086960.9
0.10835 3105311.0
0.096615 2671308.135
0.086022 2788145.064
0.076926 2500941.186
0.068754 2795331.378
0.061437 2641852.437
0.054531 2468127.591
0.048738 2831044.206
0.0436 3025491.2
0.038753 3814574.049
0.034779 2846452.476
0.031023 2371677.327
0.027481 2914085.24
0.024651 3452126.04
0.021976 2559324.96
0.019674 2534798.16
0.017501 3236459.93
0.015657 2171782.47
0.013914 2856822.48
0.012447 1835808.03
0.011068 2427544.44
0.0099244 2513652.032
0.008842 2215716.78
0.0078257 1702324.521
0.0070025 1558546.425
0.006225 1632257.25
0.0056101 1068611.848
0.0050308 1873721.46
