nu(Mhz) 240.0K

19.998 40.042
16.167 45.429
13.07 55.876
10.569 65.595
8.5415 74.822
8.5415 78.327
6.9048 85.721
5.5842 91.631
4.5147 112.11
3.6496 124.91
2.9499 136.53
2.3857 144.09
1.9276 158.85
1.5577 169.8
1.2593 183.07
1.0181 191.64
0.82406 202.35
0.66606 219.12
0.53764 216.66
0.43548 233.2
0.35161 247.62
0.28429 247.73
0.2302 242.06
0.18591 270.46
0.15003 260.03
0.1213 263.17
0.098106 271.4
0.079151 272.97
0.064232 295.66
0.051955 282.6
0.041954 281.22
0.033894 301.95
0.027479 302.96
0.022212 292.03
0.017925 294.22
0.014483 295.43
0.011746 297.03
0.0094544 273.95
0.0076834 294.74
0.006225 309.32
0.0050308 319.09
