nu(mhz) 280.0K

19.998 4.0501
13.406 4.4853
8.985 4.5651
8.985 4.5985
6.0219 4.7702
4.037 4.7728
2.706 4.9317
1.8142 4.9006
1.2149 5.1496
0.8154 5.2747
0.54585 5.3803
0.36593 5.6433
