sqrtom 200.0K

11209.4219197 11.701
10078.7031339 12.317
9062.07658127 12.968
8149.04813531 13.659
7325.83287424 14.425
7325.83287424 14.236
6586.66364019 14.982
5923.3912071 15.837
5326.03949538 16.4
4788.64418151 16.763
4305.20247348 17.146
3871.66568641 17.501
3480.15344462 17.968
3128.46891514 18.525
2812.90157263 18.798
2529.21152956 19.053
2275.46076306 19.267
2045.72197664 19.462
1837.95858184 19.648
1654.14677026 19.886
1486.3481375 20.103
1336.50542497 20.227
1202.65924422 20.237
1080.78997981 20.312
970.91003272 20.507
873.012243763 20.553
785.123033509 20.765
705.209472603 20.783
635.280692805 20.71
571.351811614 20.951
513.424538153 20.895
461.478366559 20.83
415.51853034 20.948
373.580128009 21.111
335.598117741 21.139
301.661023011 21.11
271.665777414 21.133
243.728839427 21.302
219.718515354 21.095
197.769635023 21.351
177.790462746 22.82
