sqrtom 189.5K

11209.4219197 18.882
9833.20592138 20.773
8624.40419197 23.16
7565.57553613 25.073
6636.60309833 27.591
6636.60309833 27.85
5821.532866 29.756
5106.32849573 32.228
4479.01578109 33.868
3929.6545051 36.022
3446.13530627 37.651
3022.64449699 39.166
2650.98901659 40.631
2325.4162214 41.672
2039.72399677 42.975
1790.00289033 43.914
1570.23806419 44.784
1376.45620981 45.413
1208.65238341 46.026
1058.82423204 46.323
928.975512024 46.827
815.097548997 47.529
715.193365103 47.818
627.303445394 48.012
549.386360043 48.329
483.447956927 48.525
423.508922903 48.931
371.564840579 48.983
325.630212425 49.371
285.678655057 49.576
249.713524389 49.358
