sqrtom 309.9K

249.713524389 0.649019039067
295.675904267 0.648724653399
349.600515725 0.648379270224
411.522409577 0.647982665042
485.458252069 0.647509111401
573.355260961 0.646946137515
675.246763318 0.646293529927
797.092026219 0.645513119967
940.93763961 0.644591799379
1108.7687032 0.643516853744
1308.54639196 0.642237292321
1544.27425781 0.640727472655
1819.97439498 0.638961633527
2147.61146546 0.636863142155
2533.18320581 0.634393583479
2988.67466157 0.63147619416
3526.06963712 0.628034218814
4159.34158549 0.623978158499
4906.52876324 0.619192479506
5787.54359574 0.613549644215
6828.38852483 0.606883108894
