sqrtom 189.5K

249.713524389 49.5020302156
285.678655057 49.3692050369
325.630212425 49.2216573247
371.564840579 49.0520131421
423.508922903 48.8601750509
483.447956927 48.6388102802
549.386360043 48.3952888466
627.303445394 48.1075281575
715.193365103 47.7829361408
815.097548997 47.4139734586
928.975512024 46.9934032977
1058.82423204 46.5138504886
1208.65238341 45.9605103335
1376.45620981 45.3407830361
1570.23806419 44.6251145828
1790.00289033 43.8134867153
2039.72399677 42.8912253479
2325.4162214 41.8361166888
2650.98901659 40.6337224836
3022.64449699 39.2611372966
3446.13530627 37.6971156629
3929.6545051 35.9113992537
4479.01578109 33.8825171586
5106.32849573 31.5657475019
5821.532866 28.9243794176
6636.60309833 25.9141901798
6636.60309833 25.9141901798
7565.57553613 22.4833412499
8624.40419197 18.5729118194
9833.20592138 14.1086070122
11209.4219197 9.02601360796
