SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/50/pdata/991/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

51 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.010e+00     3.094e-02  
T     =      30.458s    356553062937064.125s  

RSS   =    3.341e-04
SD    =    2.560e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.008e+00     8.078e-03
    2       2.000s     9.715e-01     9.765e-01     5.046e-03
    3       3.000s     9.426e-01     9.460e-01     3.385e-03
    4       4.000s     9.157e-01     9.164e-01     6.923e-04
    5       5.000s     8.894e-01     8.878e-01    -1.583e-03
    6       6.000s     8.631e-01     8.601e-01    -2.974e-03
    7       7.000s     8.373e-01     8.334e-01    -3.932e-03
    8       8.000s     8.106e-01     8.074e-01    -3.161e-03
    9       9.000s     7.867e-01     7.824e-01    -4.290e-03
   10      10.000s     7.630e-01     7.581e-01    -4.926e-03
   11      11.000s     7.386e-01     7.346e-01    -3.971e-03
   12      12.000s     7.148e-01     7.119e-01    -2.942e-03
   13      13.000s     6.931e-01     6.899e-01    -3.183e-03
   14      14.000s     6.703e-01     6.686e-01    -1.678e-03
   15      15.000s     6.493e-01     6.480e-01    -1.317e-03
   16      16.000s     6.306e-01     6.281e-01    -2.517e-03
   17      17.000s     6.096e-01     6.088e-01    -8.605e-04
   18      18.000s     5.914e-01     5.901e-01    -1.259e-03
   19      19.000s     5.714e-01     5.721e-01     6.240e-04
   20      20.000s     5.544e-01     5.546e-01     1.358e-04
   21      21.000s     5.359e-01     5.377e-01     1.746e-03
   22      22.000s     5.194e-01     5.213e-01     1.884e-03
   23      23.000s     5.037e-01     5.055e-01     1.800e-03
   24      24.000s     4.881e-01     4.901e-01     2.054e-03
   25      25.000s     4.720e-01     4.753e-01     3.293e-03
   26      26.000s     4.593e-01     4.610e-01     1.629e-03
   27      27.000s     4.448e-01     4.471e-01     2.287e-03
   28      28.000s     4.308e-01     4.336e-01     2.836e-03
   29      29.000s     4.181e-01     4.206e-01     2.503e-03
   30      30.000s     4.048e-01     4.080e-01     3.205e-03
   31      31.000s     3.935e-01     3.959e-01     2.333e-03
   32      32.000s     3.812e-01     3.841e-01     2.828e-03
   33      33.000s     3.714e-01     3.727e-01     1.220e-03
   34      34.000s     3.598e-01     3.616e-01     1.779e-03
   35      35.000s     3.497e-01     3.509e-01     1.206e-03
   36      36.000s     3.392e-01     3.406e-01     1.416e-03
   37      37.000s     3.304e-01     3.306e-01     2.421e-04
   38      38.000s     3.202e-01     3.209e-01     6.841e-04
   39      39.000s     3.110e-01     3.116e-01     5.397e-04
   40      40.000s     3.024e-01     3.025e-01     9.017e-05
   41      41.000s     2.944e-01     2.937e-01    -7.165e-04
   42      42.000s     2.863e-01     2.852e-01    -1.112e-03
   43      43.000s     2.785e-01     2.770e-01    -1.475e-03
   44      44.000s     2.699e-01     2.691e-01    -7.898e-04
   45      45.000s     2.619e-01     2.614e-01    -4.902e-04
   46      46.000s     2.550e-01     2.539e-01    -1.076e-03
   47      47.000s     2.480e-01     2.467e-01    -1.302e-03
   48      48.000s     2.415e-01     2.398e-01    -1.763e-03
   49      49.000s     2.351e-01     2.330e-01    -2.059e-03
   50      50.000s     2.281e-01     2.265e-01    -1.601e-03
   51      51.000s     2.227e-01     2.202e-01    -2.557e-03

============================================================

