omegatau 280.0K

0.00315621393099 0.01211418846
0.00211582178012 0.00816063438
0.00141807091559 0.0068007465
0.00141807091559 0.00407532645
0.00095041527508 0.003132712818
0.000637145496521 0.00212116091
0.000427078452709 0.0014306622
0.00028632879856 0.000988122172
0.000191743389577 0.000658803823
0.000128691711138 0.000448396614
8.614958367e-05 0.0003019041765
5.77534435328e-05 0.0002000575903
3.87858572628e-05 0.0001360250825
2.59735036816e-05 8.95112687e-05
1.74319346274e-05 6.11793595e-05
1.16573794065e-05 4.08382998e-05
7.80357243745e-06 2.757294104e-05
5.25720002207e-06 1.82825266e-05
3.50564175594e-06 1.220860368e-05
2.34672191919e-06 8.11564889e-06
1.56633311015e-06 5.58148256e-06
