sqrtom 332.7K

11209.4219197 0.6435
9613.17270718 0.6457
8244.86396725 0.61996
7072.11307628 0.64134
7072.11307628 0.67711
6065.26352725 0.66769
5200.21165373 0.67463
4461.02374163 0.65505
3825.70932698 0.67948
3280.33278145 0.68415
2812.90157263 0.71108
2413.31161618 0.66865
2069.69186475 0.70515
1774.03063348 0.68157
1522.28919887 0.68963
1304.55493265 0.69186
1118.7540003 0.69292
960.92502972 0.70853
823.075354886 0.70613
705.209472603 0.71144
605.323481751 0.70749
519.404589443 0.72646
445.496323551 0.7099
381.567778957 0.69625
327.630794932 0.71424
281.680783972 0.69885
241.722678799 0.69404
205.76044138 0.69618
177.790462746 0.70894
