sqrtom 300.0K

11209.4219197 2.9635
9725.2654683 2.8639
8438.44411525 2.8269
7321.8435983 2.5387
7321.8435983 2.5242
6350.9274725 2.7596
5511.8470223 2.9108
4780.69937926 3.0212
4147.39051657 2.913
3599.95805734 2.9293
3122.53854415 3.0291
2709.01466197 3.0461
2351.38567121 2.9599
2039.72399677 3.0485
1770.02392349 3.0481
1534.29404196 3.1163
1332.50340936 3.1167
1154.70981378 2.9837
1002.87061584 3.054
869.044805475 3.0608
755.148549697 2.9614
655.256795437 3.0553
567.36798715 3.0019
493.449369449 3.0761
427.525274792 3.1835
371.564840579 3.0195
321.630786613 3.0592
279.654800635 3.1283
241.722678799 2.9953
209.757014456 3.0529
181.786724276 2.9955
157.812108541 3.0973
137.832648871 4.2362
