sqrtom 269.5K

11209.4219197 20.263
9833.20592138 26.125
8624.40419197 33.212
9707.15870128 25.769
8558.5848311 28.131
9379.61410033 26.503
9341.68939386 26.828
9303.61009457 27.444
9265.71335825 28.066
9227.66098656 28.19
9189.79290919 28.851
9153.82757411 28.108
9115.99741514 30.027
9079.73977686 29.06
9041.94709214 27.756
9006.08900302 31.253
8970.08757169 25.089
8933.94106524 29.203
8898.00078983 32.69
8862.26925453 27.597
8826.03713104 30.195
8790.37046476 27.109
8754.1996317 27.772
8718.23908028 29.567
8684.30038875 26.638
8648.4124495 28.724
8612.37496578 28.879
8578.3836658 26.975
8544.62481736 28.843
8508.51697473 23.518
8474.47981065 30.351
8440.67759117 34.691
8406.73945922 29.247
8372.66376204 34.714
8204.75760648 34.894
11209.4219197 20.916
9833.20592138 25.998
8624.40419197 32.345
7565.57553613 22.233
11209.4219197 20.708
10078.7031339 24.275
9062.07658127 28.746
8149.04813531 33.765
7325.83287424 38.585
7325.83287424 37.466
6586.66364019 45.453
5923.3912071 50.839
5326.03949538 56.602
4788.64418151 62.215
4305.20247348 71.831
3871.66568641 78.633
3480.15344462 83.969
3128.46891514 90.521
2812.90157263 96.166
2529.21152956 101.95
2275.46076306 108.56
2045.72197664 110.67
1837.95858184 117.54
1654.14677026 117.69
1486.3481375 120.5
1336.50542497 122.82
1202.65924422 125.35
1080.78997981 127.47
970.91003272 128.13
873.012243763 129.1
785.123033509 128.29
705.209472603 129.96
635.280692805 128.85
571.351811614 129.94
513.424538153 129.41
461.478366559 129.78
415.51853034 128.76
373.580128009 131.43
335.598117741 130.13
301.661023011 132.41
271.665777414 132.13
243.728839427 128.67
219.718515354 132.18
197.769635023 130.7
177.790462746 136.8
