sqrtom 269.5K

177.790462746 131.439419596
197.769635023 131.203928274
219.718515354 130.945220316
243.728839427 130.66221445
271.665777414 130.33292621
301.661023011 129.979377026
335.598117741 129.579365895
373.580128009 129.131677988
415.51853034 128.637356717
461.478366559 128.095635446
513.424538153 127.483354193
571.351811614 126.800574645
635.280692805 126.047055102
705.209472603 125.222815709
785.123033509 124.280887292
873.012243763 123.244951165
970.91003272 122.091045516
1080.78997981 120.795908076
1202.65924422 119.359454462
1336.50542497 117.781830842
1486.3481375 116.015658649
1654.14677026 114.037842884
1837.95858184 111.87128233
2045.72197664 109.422408278
2275.46076306 106.714513785
2529.21152956 103.723593906
2812.90157263 100.379784541
3128.46891514 96.6602425233
3480.15344462 92.5149929741
3871.66568641 87.9003005219
4305.20247348 82.7902714461
4788.64418151 77.0920210135
5326.03949538 70.7578280201
5923.3912071 63.7169385122
6586.66364019 55.8990519583
7325.83287424 47.1865818968
7325.83287424 47.1865818968
7565.57553613 44.3607733161
8149.04813531 37.4834746977
8204.75760648 36.8268360317
8372.66376204 34.8477529124
8406.73945922 34.4461080958
8440.67759117 34.0460847385
8474.47981065 33.64766336
8508.51697473 33.2464727267
8544.62481736 32.8208753353
8558.5848311 32.6563308762
8578.3836658 32.4229651642
8612.37496578 32.0223151238
8624.40419197 31.8805285503
8624.40419197 31.8805285503
8648.4124495 31.5975470416
8684.30038875 31.1745416162
8718.23908028 30.7745116633
8754.1996317 30.3506503699
8790.37046476 29.9243105202
8826.03713104 29.5039132041
8862.26925453 29.0768509339
8898.00078983 28.6556890169
8933.94106524 28.2320667136
8970.08757169 27.8060135977
9006.08900302 27.3816704592
9041.94709214 26.9590168726
9062.07658127 26.7217537895
9079.73977686 26.5135605156
9115.99741514 26.0861975067
9153.82757411 25.6402994467
9189.79290919 25.216381769
9227.66098656 24.7700367709
9265.71335825 24.3215195249
9303.61009457 23.8748367284
9341.68939386 23.4260020911
9379.61410033 22.9789896148
9707.15870128 19.1182735594
9833.20592138 17.632575047
9833.20592138 17.632575047
10078.7031339 14.7389384943
11209.4219197 1.41133621437
11209.4219197 1.41133621437
11209.4219197 1.41133621437
