
 0.000063  -21  5  21.587032
 0.000100  -46  88  99.297531
 0.000158  66  -102  121.490738
 0.000251  -43  70  82.152298
 0.000398  108  -45  117.000000
 0.000631  21  9  22.847319
 0.001000  -78  -127  149.040268
 0.001585  -18  -63  65.520988
 0.002512  -52  76  92.086914
 0.003981  123  112  166.352036
 0.006310  -67  -32  74.249580
 0.010000  -78  71  105.475113
 0.015850  -22  -98  100.439034
 0.025120  334  -54  338.337097
 0.039810  77  -403  410.290131
 0.063100  -537  -575  786.761719
 0.100000  -50  -173  180.080536
 0.158500  197  -462  502.247955
 0.251200  -20  -199  200.002502
 0.398100  -90  123  152.410629
 0.631000  -660  -173  682.296875
 1.000000  170  -397  431.866882
 1.585000  -47  -106  115.952576
