SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/47/pdata/991/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

42 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    9.660e-01     8.176e-02  
T     =      21.719s    454396106064750.125s  

RSS   =    1.095e-04
SD    =    1.614e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.004e+00     4.278e-03
    2       2.000s     9.627e-01     9.628e-01     1.114e-04
    3       3.000s     9.251e-01     9.231e-01    -2.016e-03
    4       4.000s     8.880e-01     8.853e-01    -2.753e-03
    5       5.000s     8.516e-01     8.491e-01    -2.476e-03
    6       6.000s     8.164e-01     8.146e-01    -1.838e-03
    7       7.000s     7.826e-01     7.816e-01    -1.043e-03
    8       8.000s     7.501e-01     7.501e-01     1.515e-05
    9       9.000s     7.190e-01     7.200e-01     9.828e-04
   10      10.000s     6.896e-01     6.913e-01     1.659e-03
   11      11.000s     6.619e-01     6.639e-01     1.974e-03
   12      12.000s     6.356e-01     6.377e-01     2.064e-03
   13      13.000s     6.106e-01     6.127e-01     2.044e-03
   14      14.000s     5.870e-01     5.888e-01     1.757e-03
   15      15.000s     5.647e-01     5.660e-01     1.217e-03
   16      16.000s     5.436e-01     5.442e-01     5.509e-04
   17      17.000s     5.236e-01     5.234e-01    -2.078e-04
   18      18.000s     5.044e-01     5.035e-01    -8.854e-04
   19      19.000s     4.860e-01     4.845e-01    -1.454e-03
   20      20.000s     4.683e-01     4.664e-01    -1.876e-03
   21      21.000s     4.511e-01     4.491e-01    -2.037e-03
   22      22.000s     4.345e-01     4.326e-01    -1.915e-03
   23      23.000s     4.185e-01     4.168e-01    -1.730e-03
   24      24.000s     4.032e-01     4.017e-01    -1.478e-03
   25      25.000s     3.883e-01     3.873e-01    -1.038e-03
   26      26.000s     3.741e-01     3.735e-01    -5.666e-04
   27      27.000s     3.606e-01     3.604e-01    -1.763e-04
   28      28.000s     3.476e-01     3.479e-01     2.568e-04
   29      29.000s     3.351e-01     3.359e-01     8.428e-04
   30      30.000s     3.231e-01     3.245e-01     1.324e-03
   31      31.000s     3.119e-01     3.135e-01     1.634e-03
   32      32.000s     3.014e-01     3.031e-01     1.703e-03
   33      33.000s     2.914e-01     2.932e-01     1.716e-03
   34      34.000s     2.820e-01     2.836e-01     1.680e-03
   35      35.000s     2.732e-01     2.746e-01     1.408e-03
   36      36.000s     2.649e-01     2.659e-01     9.652e-04
   37      37.000s     2.569e-01     2.576e-01     6.742e-04
   38      38.000s     2.494e-01     2.497e-01     2.663e-04
   39      39.000s     2.426e-01     2.421e-01    -4.610e-04
   40      40.000s     2.361e-01     2.349e-01    -1.144e-03
   41      41.000s     2.298e-01     2.280e-01    -1.732e-03
   42      42.000s     2.237e-01     2.214e-01    -2.299e-03

============================================================

