
 0.000063  -59  -119  132.823196
 1.000000  344  -1198  1246.410889
 0.000100  -4  -59  59.135437
 0.631000  404  -1230  1294.649048
 0.000158  -25  -150  152.069061
 0.398100  535  -1099  1222.303589
 0.000251  -29  -239  240.752991
 0.251200  409  -1040  1117.533447
 0.000398  64  -83  104.809349
 0.158500  489  -986  1100.598511
 0.000631  135  -141  195.207581
 0.100000  158  -798  813.491272
 0.001000  26  -115  117.902504
 0.063100  393  -453  599.714905
 0.001585  -13  -68  69.231499
 0.039810  -279  -562  627.443237
 0.002512  -36  -91  97.862144
 0.025120  54  -124  135.247925
 0.003981  33  -54  63.285069
 0.015850  41  -29  50.219517
 0.006310  120  48  129.243958
 0.010000  2  23  23.086792
 1.585000  77  -34  84.172440
 2.512000  -34  28  44.045429
 3.981000  19  5  19.646883
