sqrtom 245.0K

177.790462746 542.667506463
189.778414208 541.823151715
201.765670826 540.978845908
213.7523495 540.134580807
227.746181152 539.148944668
243.695323891 538.025588903
259.67507527 536.90007726
275.694926796 535.771741219
295.644027182 534.36665398
313.649218642 533.098483272
335.598117741 531.552542982
357.596682551 530.003104557
379.578348011 528.454856413
405.539610168 526.626310892
431.518805805 524.796502251
459.486226879 522.826655706
489.447654205 520.716364095
523.399349821 518.325023466
557.374034494 515.932063635
593.335379664 513.399176126
633.289600544 510.585055949
673.247877735 507.770650071
719.188302524 504.534899918
765.145971281 501.29793521
815.097548997 497.779665059
869.044805475 493.979964812
926.944222031 489.901899648
986.892372281 485.679534764
1052.81371573 481.036456296
1052.81371573 481.036456296
1120.74599029 476.251740681
1120.74599029 476.251740681
1120.74599029 476.251740681
1264.59334348 466.120051711
1442.38979437 453.597205093
1644.1647261 439.385467408
1875.90607307 423.063086795
2137.61167727 404.63021525
2437.27550453 383.523808868
2778.8549337 359.465135155
3166.49760985 332.162060477
3609.97986776 300.926002244
4115.45311163 265.323694825
4692.75358219 224.662336238
5350.05146394 178.366470857
6099.19887606 125.601311096
6952.26806834 65.5165647694
7927.05091803 -3.1409143396
8149.04813531 -18.776980682
9062.07658127 -83.0848739467
10078.7031339 -154.689556282
11209.4219197 -234.330166943
