sqrtom 250.0K

249.713524389 246.724492691
295.675904267 245.349423876
349.600515725 243.736146849
411.522409577 241.883612985
485.458252069 239.671654606
573.355260961 237.042016277
675.246763318 233.993700943
797.092026219 230.348423616
940.93763961 226.044955918
1108.7687032 221.02390909
1308.54639196 215.047106531
1544.27425781 207.994772906
1819.97439498 199.746578147
2147.61146546 189.944572259
2533.18320581 178.409319354
2988.67466157 164.782259619
3526.06963712 148.70487037
4159.34158549 129.759104077
4906.52876324 107.405305391
5787.54359574 81.0477489569
6828.38852483 49.9085127646
6828.38852483 49.9085127646
8055.21288777 13.2052800966
9503.39442544 -30.1203543858
11209.4219197 -81.1600353298
