sqrtom 255.1K

11209.4219197 20.007
9789.01727038 25.896
8548.30071549 34.691
7519.63415689 41.061
6554.67717069 50.722
5713.6280856 60.195
4980.43762692 70.177
4341.17334489 79.41
4341.17334489 79.045
3669.87843204 86.147
3100.52794214 92.619
2621.07512576 96.843
2213.53869771 100.26
1871.91602749 105.24
1580.22983665 105.81
1336.50542497 108.01
1128.73446157 110.36
954.923391498 112.11
807.079810673 113.1
681.240510509 114.46
575.357194353 116.45
487.44092195 115.67
411.522409577 116.87
347.59080867 117.36
293.660890043 119.18
247.724125948 120.31
209.757014456 119.49
177.790462746 121.96
