sqrtom 250.0K

11209.4219197 16.631
9503.39442544 25.368
8055.21288777 37.92
6828.38852483 52.986
6828.38852483 54.258
5787.54359574 74.005
4906.52876324 97.568
4159.34158549 124.43
3526.06963712 147.68
2988.67466157 168.95
2533.18320581 185.48
2147.61146546 196.84
1819.97439498 207.15
1544.27425781 208.82
1308.54639196 217.15
1108.7687032 225.08
940.93763961 231.65
797.092026219 230.72
675.246763318 232.17
573.355260961 234.79
485.458252069 239.27
411.522409577 235.52
349.600515725 242.93
295.675904267 239.36
249.713524389 241.67
