sqrtom 300.0K

249.713524389 2.23607290868
283.681224994 2.23504992874
321.630786613 2.23390703006
365.589821869 2.23258314853
413.532894103 2.23113928273
467.477772914 2.229514665
529.409148955 2.22764952387
601.324397678 2.22548370588
681.240510509 2.22307693183
771.14169063 2.22036944495
875.025120515 2.21724086506
990.895235609 2.2137512911
1122.73444604 2.20978078779
1270.59105649 2.20532790037
1440.3845974 2.20021435476
1632.17883162 2.19443823065
1849.93582085 2.18788020558
2095.66716489 2.18047969771
2375.35269083 2.17205661702
2690.97957378 2.16255111726
3048.62062356 2.15178030812
3454.14831468 2.13956733268
3913.63268886 2.12572938399
4435.03231151 2.11002677988
5024.39866324 2.09227727241
5691.64710842 2.07218224793
6450.806769 2.04931920183
7307.84248851 2.02350849536
7759.34060143 2.00991106296
8772.12462617 1.97940980078
9916.87533591 1.94493419623
11209.4219197 1.90600753342
