sqrtom 300.0K

11209.4219197 1.8074
9916.87533591 1.7898
8772.12462617 1.8051
7759.34060143 1.8391
7307.84248851 1.9122
6450.806769 1.9578
5691.64710842 1.9586
5024.39866324 1.9856
4435.03231151 2.0793
3913.63268886 2.0783
3454.14831468 2.0982
3048.62062356 2.1504
2690.97957378 2.1826
2375.35269083 2.1729
2095.66716489 2.1773
1849.93582085 2.228
1632.17883162 2.1223
1440.3845974 2.2188
1270.59105649 2.2184
1122.73444604 2.2335
990.895235609 2.2305
875.025120515 2.217
771.14169063 2.2437
681.240510509 2.2723
601.324397678 2.2414
529.409148955 2.2265
467.477772914 2.2086
413.532894103 2.2389
365.589821869 2.2007
321.630786613 2.2399
283.681224994 2.21
249.713524389 2.2131
