260.0 1.51979218212e-05	2.23895e-7
267.5 3.77368512989e-05	8.9721e-8
276.9 0.000420057168226	7.03605e-9
280.0 0.000425514675781	6.94206e-9
282.5 0.000691616727037	3.71802e-9
285.8 0.000795955453864	3.03296e-9
292.3 0.00104164677539	2.06533e-9
293.2 0.00163376711906	1.11682e-9
296.9 0.00188187208645	9.37681e-10
299.7 0.00234444005317	7.22068e-10
302.4 0.00247106216168	6.80318e-10
306.5 0.00131622504822	1.49846e-9
309.0 0.00363913473447	4.5011e-10
311.6 0.0042679198203	3.75017e-10
314.7 0.00480390433239	3.30991e-10
323.6 0.00476224143782	3.34829e-10
