nu(mhz) 180.0K

19.998 713408652.0
15.652 586151748.0
12.247 492868268.0
9.5823 392673071.7
9.5823 444264174.9
7.4993 393368282.2
5.8703 323882061.9
4.593 294990018.0
3.595 220876800.0
2.8119 172993711.8
2.2023 137868384.6
1.7231 129945863.4
1.3484 98190488.0
1.0554 86331720.0
0.82551 68257294.35
0.64541 55962210.28
0.50541 46107038.07
0.39543 34503640.08
0.30947 30923480.28
0.2426 22522984.0
0.18936 16666899.12
0.14819 15816318.7
0.11636 12349286.8
0.09076 10646148.0
0.071285 8369571.85
0.055651 6305258.3
0.0436 4697464.0
0.034187 4035433.48
0.026694 3084758.64
0.020809 2224274.01
0.016261 2203690.72
0.012806 1617141.68
0.0099244 1234099.14
