nu(mhz) 210.0K

19.998 126509347.8
15.09 114619113.0
11.387 91188234.7
8.5928 86185784.0
8.5928 74051031.84
6.4842 54054236.46
4.895 42293779.0
3.6924 32466534.72
2.7879 27563409.72
2.104 20709040.8
1.5877 17413893.6
1.1974 12067397.2
0.90405 9538631.55
0.68176 6578438.592
0.51452 5859353.76
0.38844 4151258.28
0.29285 2949292.35
0.22111 2436411.09
0.16717 2000523.39
0.12579 1699548.69
0.095133 1129989.774
0.071712 1004900.256
0.054157 799519.791
0.040978 614014.352
0.030744 461221.488
0.023172 391606.8
0.017504 280939.2
0.013172 220802.236
0.0099244 200720.99
