nu(mhz) 220.0K

19.998 65303469.0
15.028 49918507.6
11.291 38480857.1
8.4811 29219933.83
6.371 22135402.4
4.7863 17130646.33
3.595 12994487.0
2.7008 9852248.32
2.0284 7487230.08
1.5241 5695256.88
1.1457 4327079.76
0.86063 3258173.054
0.64669 2463177.541
0.48522 1856645.808
0.36496 1394913.616
0.27418 1054907.55
0.20565 791690.805
0.15439 592193.723
0.11636 446647.86
0.087429 336208.2195
0.065451 256286.4807
0.049444 192198.7168
0.036893 144421.3378
0.027746 107956.9114
0.020809 81225.8506
0.015657 61156.242
0.011749 45729.4578
0.0088446 34713.28608
0.0066087 25649.02557
0.0050308 19820.84892
