SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/45/pdata/991/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 354 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.072e+00     2.739e-01  
T     =       2.742s       13.177s  

RSS   =    1.066e-03
SD    =    5.962e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.984e-01    -1.617e-03
    2       2.000s     7.575e-01     7.523e-01    -5.163e-03
    3       3.000s     5.663e-01     5.772e-01     1.088e-02
    4       4.000s     4.391e-01     4.515e-01     1.242e-02
    5       5.000s     3.632e-01     3.606e-01    -2.630e-03
    6       6.000s     3.089e-01     2.940e-01    -1.492e-02
    7       7.000s     2.594e-01     2.445e-01    -1.486e-02
    8       8.000s     2.111e-01     2.073e-01    -3.864e-03
    9       9.000s     1.738e-01     1.786e-01     4.784e-03
   10      10.000s     1.470e-01     1.562e-01     9.191e-03
   11      11.000s     1.334e-01     1.383e-01     4.924e-03
   12      12.000s     1.233e-01     1.237e-01     3.564e-04
   13      13.000s     1.138e-01     1.115e-01    -2.311e-03
   14      14.000s     9.845e-02     1.012e-01     2.725e-03
   15      15.000s     8.813e-02     9.227e-02     4.139e-03
   16      16.000s     7.843e-02     8.447e-02     6.044e-03
   17      17.000s     7.311e-02     7.757e-02     4.464e-03
   18      18.000s     7.100e-02     7.140e-02     3.992e-04
   19      19.000s     6.928e-02     6.583e-02    -3.458e-03
   20      20.000s     6.723e-02     6.077e-02    -6.458e-03
   21      21.000s     5.733e-02     5.616e-02    -1.173e-03
   22      22.000s     4.962e-02     5.194e-02     2.314e-03
   23      23.000s     4.893e-02     4.806e-02    -8.719e-04
   24      24.000s     4.584e-02     4.449e-02    -1.349e-03
   25      25.000s     4.354e-02     4.120e-02    -2.341e-03
   26      26.000s     4.053e-02     3.816e-02    -2.370e-03
   27      27.000s     3.747e-02     3.535e-02    -2.118e-03
   28      28.000s     3.250e-02     3.276e-02     2.548e-04
   29      29.000s     2.933e-02     3.035e-02     1.029e-03
   30      30.000s     2.919e-02     2.813e-02    -1.065e-03

============================================================

