SIMFIT RESULTS
==============

Dataset : /opt/xwinnmr/data/max/nmr/otp/47/pdata/992/simfit.out

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

39 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    9.531e-01     1.106e-01  
T     =      18.807s    2096564879317444.500s  

RSS   =    7.786e-04
SD    =    4.468e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00     1.434e-02
    2       2.000s     9.617e-01     9.675e-01     5.841e-03
    3       3.000s     9.231e-01     9.232e-01     7.245e-05
    4       4.000s     8.846e-01     8.811e-01    -3.500e-03
    5       5.000s     8.466e-01     8.412e-01    -5.435e-03
    6       6.000s     8.096e-01     8.033e-01    -6.243e-03
    7       7.000s     7.738e-01     7.675e-01    -6.317e-03
    8       8.000s     7.393e-01     7.335e-01    -5.872e-03
    9       9.000s     7.063e-01     7.012e-01    -5.083e-03
   10      10.000s     6.748e-01     6.706e-01    -4.171e-03
   11      11.000s     6.449e-01     6.416e-01    -3.291e-03
   12      12.000s     6.167e-01     6.141e-01    -2.558e-03
   13      13.000s     5.898e-01     5.880e-01    -1.745e-03
   14      14.000s     5.641e-01     5.633e-01    -7.897e-04
   15      15.000s     5.398e-01     5.399e-01     8.377e-05
   16      16.000s     5.167e-01     5.176e-01     9.254e-04
   17      17.000s     4.949e-01     4.966e-01     1.694e-03
   18      18.000s     4.743e-01     4.766e-01     2.255e-03
   19      19.000s     4.549e-01     4.576e-01     2.745e-03
   20      20.000s     4.364e-01     4.396e-01     3.197e-03
   21      21.000s     4.191e-01     4.226e-01     3.504e-03
   22      22.000s     4.027e-01     4.064e-01     3.789e-03
   23      23.000s     3.871e-01     3.911e-01     4.037e-03
   24      24.000s     3.724e-01     3.766e-01     4.188e-03
   25      25.000s     3.585e-01     3.628e-01     4.282e-03
   26      26.000s     3.456e-01     3.498e-01     4.198e-03
   27      27.000s     3.333e-01     3.374e-01     4.097e-03
   28      28.000s     3.218e-01     3.256e-01     3.823e-03
   29      29.000s     3.112e-01     3.145e-01     3.247e-03
   30      30.000s     3.014e-01     3.039e-01     2.574e-03
   31      31.000s     2.921e-01     2.939e-01     1.860e-03
   32      32.000s     2.834e-01     2.844e-01     9.752e-04
   33      33.000s     2.755e-01     2.754e-01    -7.168e-05
   34      34.000s     2.682e-01     2.669e-01    -1.343e-03
   35      35.000s     2.615e-01     2.588e-01    -2.709e-03
   36      36.000s     2.551e-01     2.511e-01    -3.942e-03
   37      37.000s     2.489e-01     2.438e-01    -5.033e-03
   38      38.000s     2.431e-01     2.369e-01    -6.183e-03
   39      39.000s     2.378e-01     2.304e-01    -7.437e-03

============================================================

