 1.9998e+01	 2.1379e+00	 4.6775e-01	 7.7936e-01	 3.6455e-03	 1	 mtcp_383K.sdf
 1.3406e+01	 2.2204e+00	 4.5037e-01	 9.3938e-01	 4.2307e-03	 2	 mtcp_383K.sdf
 8.9850e+00	 1.7949e+00	 5.5715e-01	 2.5830e+00	 1.4391e-02	 3	 mtcp_383K.sdf
 6.0219e+00	 2.5742e+00	 3.8847e-01	 2.6012e+00	 1.0105e-02	 4	 mtcp_383K.sdf
 4.0370e+00	 2.4361e+00	 4.1048e-01	 2.1099e+00	 8.6608e-03	 5	 mtcp_383K.sdf
 2.7060e+00	 2.4581e+00	 4.0681e-01	 2.1445e+00	 8.7243e-03	 6	 mtcp_383K.sdf
 1.8142e+00	 2.2977e+00	 4.3521e-01	 2.2033e+00	 9.5889e-03	 7	 mtcp_383K.sdf
 1.2149e+00	 2.3192e+00	 4.3118e-01	 1.5858e+00	 6.8377e-03	 8	 mtcp_383K.sdf
 8.1540e-01	 2.2918e+00	 4.3633e-01	 2.2839e+00	 9.9654e-03	 9	 mtcp_383K.sdf
 5.4585e-01	 2.2566e+00	 4.4315e-01	 1.8879e+00	 8.3664e-03	 10	 mtcp_383K.sdf
 3.6593e-01	 2.2520e+00	 4.4406e-01	 1.3966e+00	 6.2018e-03	 11	 mtcp_383K.sdf
 2.4575e-01	 2.2095e+00	 4.5259e-01	 1.5470e+00	 7.0016e-03	 12	 mtcp_383K.sdf
 1.6457e-01	 2.2553e+00	 4.4341e-01	 1.7653e+00	 7.8274e-03	 13	 mtcp_383K.sdf
 1.1045e-01	 2.2117e+00	 4.5215e-01	 1.6776e+00	 7.5853e-03	 14	 mtcp_383K.sdf
 7.3862e-02	 2.1853e+00	 4.5761e-01	 2.0728e+00	 9.4853e-03	 15	 mtcp_383K.sdf
 4.9444e-02	 2.2898e+00	 4.3673e-01	 2.2952e+00	 1.0024e-02	 16	 mtcp_383K.sdf
 3.3310e-02	 2.1406e+00	 4.6715e-01	 1.8905e+00	 8.8317e-03	 17	 mtcp_383K.sdf
 2.2212e-02	 2.1965e+00	 4.5527e-01	 1.8891e+00	 8.6004e-03	 18	 mtcp_383K.sdf
 1.4869e-02	 2.2403e+00	 4.4637e-01	 2.0042e+00	 8.9464e-03	 19	 mtcp_383K.sdf
 9.9244e-03	 2.2644e+00	 4.4163e-01	 2.2199e+00	 9.8038e-03	 20	 mtcp_383K.sdf

 
