nu(mhz) 260.0K

19.998 352364760.0
14.568 267497616.0
10.615 204221985.0
7.7324 181680470.4
5.6333 136889190.0
4.1045 102362125.5
2.9911 79910227.6
2.1787 59522084.0
1.5877 44903331.4
1.1559 33724538.4
0.84298 25464739.84
0.61379 18503313.34
0.44713 14023338.19
0.32564 10178203.84
0.23713 7280128.13
0.17308 5574560.64
0.12579 4103898.75
0.091723 2869003.717
0.066681 2183469.345
0.048738 1617224.316
0.035378 1194715.06
0.025916 864454.096
0.018792 635113.224
0.013725 466704.9
0.0099244 336020.3352
