T(K) D*R0

332.7 1920.7113195
315.1 3881.86718644
302.0 3413.66722859
300.0 1852.2177873
280.5 2539.32569549
273.0 2412.87857337
269.5 2578.28065868
264.4 2262.8840555
260.1 2395.07321046
259.0 2424.89455917
250.2 2548.82203496
259.0 2307.36557242
240.1 2287.89552106
233.0 2209.75225366
230.5 2288.90387157
220.0 2437.59361882
210.0 2095.93293125
200.0 1937.75186425
210.0 1927.71067705
181.0 1836.89951211
169.3 1561.04526617
