beta(0.5) K_dd(450000000.0

1e-06 4.99999999996e-06
1.26185688307e-06 6.30928441524e-06
1.59228279334e-06 7.96141396653e-06
2.00923300257e-06 1.00461650125e-05
2.53536449397e-06 1.26768224692e-05
3.1992671378e-06 1.59963356876e-05
4.0370172586e-06 2.01850862902e-05
5.09413801482e-06 2.54706900685e-05
6.42807311728e-06 3.21403655751e-05
8.1113083079e-06 4.05565415168e-05
1.0235310219e-05 5.11765510494e-05
1.29154966501e-05 6.45774831592e-05
1.62975083462e-05 8.14875415471e-05
2.05651230835e-05 0.000102825615048
2.5950242114e-05 0.000129751209827
3.27454916288e-05 0.000163727456652
4.13201240012e-05 0.000206600617007
5.214008288e-05 0.000260700408376
6.57933224658e-05 0.000328966600225
8.30217568132e-05 0.000415108759746
0.000104761575279 0.00052380782753
0.000132194114847 0.000660970476053
0.00016681005372 0.000834050071333
0.000210490414451 0.0010524516759
0.000265608778295 0.0013280430951
0.000335160265094 0.00167579972537
0.000422924287439 0.00211461822223
0.000533669923121 0.002668343156
0.000673415065775 0.00336706235006
0.000849753435909 0.00424874110216
0.00107226722201 0.00536128371479
0.00135304777458 0.00676513359948
0.00170735264747 0.00853655172128
0.00215443469003 0.0107717484739
0.00271858824273 0.0135920873656
0.00343046928631 0.0171506309424
0.00432876128108 0.0216403598772
0.00546227721768 0.0273044621354
0.00689261210435 0.0344491516458
0.00869749002618 0.0434595134191
0.0109749876549 0.0548188371489
0.0138488637139 0.0691316949237
0.0174752840001 0.0871504410969
0.022051307399 0.109803474995
0.0278255940221 0.138220785921
0.0351119173422 0.173746734783
0.0443062145758 0.217919787474
0.0559081018251 0.272381845637
0.0705480231072 0.33865606412
0.0890215085445 0.417711782724
0.112332403298 0.509254182968
0.141747416293 0.610807052956
0.178864952906 0.716957896081
0.225701971963 0.819457741303
0.284803586844 0.908707813273
0.35938136638 0.976199033559
0.453487850813 1.01656971366
0.572236765935 1.0283616683
0.722080901839 1.0136619217
0.911162756115 0.977134796768
1.1497569954 0.924729936228
1.4508287785 0.862400336301
1.8307382803 0.795213849793
2.31012970008 0.726995016485
2.91505306283 0.660363355397
3.67837977183 0.596958084502
4.64158883361 0.537698601611
5.85702081806 0.483009936154
7.39072203353 0.432994079031
9.32603346883 0.387551360752
11.7681195243 0.346462935087
14.8496826225 0.309445313751
18.7381742286 0.276185650953
23.6448941265 0.246364077319
29.8364724028 0.219667440573
37.6493580679 0.195797397173
47.508101621 0.174474821394
59.9484250319 0.155441838304
75.6463327555 0.138462346594
95.4548456662 0.12332160439
120.450354026 0.109825256439
151.991108295 0.0977980514394
191.791026167 0.0870824116595
242.012826479 0.0775369591506
305.385550883 0.0690350640953
385.352859371 0.061463454991
486.260158007 0.0547209131618
613.590727341 0.0487170627585
774.263682681 0.0433712600275
977.009957299 0.0386115809365
1232.84673944 0.0343739033624
1555.67614393 0.0306010783716
1963.04065004 0.0272421842694
2477.07635599 0.0242518567574
3125.71584969 0.0215896885542
3944.20605944 0.0192196920567
4977.02356433 0.0171098189683
6280.29144183 0.0152315312372
7924.82898354 0.013559418093
10000.0 0.0120708544172
