sqrtom 250.0K

11209.4219197 32.104
9737.21039545 36.249
8458.52416754 41.394
7347.79931051 45.699
7347.79931051 46.26
6382.90139112 53.079
5545.82654603 60.433
4816.64130159 64.602
4185.31866384 66.174
3635.90729892 70.349
3158.45109384 73.512
2742.89738904 76.177
2383.34086462 80.772
2069.69186475 86.065
1798.00570195 87.04
1562.25494101 86.611
1356.47735595 89.967
1178.67514747 92.467
1024.87076639 93.067
889.022991711 98.16
773.135348971 100.4
671.252400181 95.4
583.333923821 96.407
507.41735043 100.24
439.511375375 100.01
381.567778957 102.0
331.63364669 100.81
287.684057372 102.14
249.713524389 105.2
