sqrtom 240.0K

11209.4219197 40.042
10078.7031339 45.429
9062.07658127 55.876
8149.04813531 65.595
7325.83287424 74.822
7325.83287424 78.327
6586.66364019 85.721
5923.3912071 91.631
5326.03949538 112.11
4788.64418151 124.91
4305.20247348 136.53
3871.66568641 144.09
3480.15344462 158.85
3128.46891514 169.8
2812.90157263 183.07
2529.21152956 191.64
2275.46076306 202.35
2045.72197664 219.12
1837.95858184 216.66
1654.14677026 233.2
1486.3481375 247.62
1336.50542497 247.73
1202.65924422 242.06
1080.78997981 270.46
970.91003272 260.03
873.012243763 263.17
785.123033509 271.4
705.209472603 272.97
635.280692805 295.66
571.351811614 282.6
513.424538153 281.22
461.478366559 301.95
415.51853034 302.96
373.580128009 292.03
335.598117741 294.22
301.661023011 295.43
271.665777414 297.03
243.728839427 273.95
219.718515354 294.74
197.769635023 309.32
177.790462746 319.09
