sqrtom 235.0K

11209.4219197 43.203
10078.7031339 52.711
9062.07658127 61.287
8149.04813531 78.939
7325.83287424 97.768
7325.83287424 89.842
6586.66364019 109.4
5923.3912071 134.36
5326.03949538 147.82
4788.64418151 176.88
4305.20247348 196.2
3871.66568641 212.46
3480.15344462 250.37
3128.46891514 264.79
2812.90157263 284.48
2529.21152956 318.93
2275.46076306 361.61
2045.72197664 364.87
1837.95858184 406.01
1654.14677026 419.48
1486.3481375 437.39
1336.50542497 435.04
1202.65924422 433.3
2241.50599617 362.22
2053.70733094 364.12
1881.90866682 417.3
1724.079263 402.43
1580.22983665 401.83
1448.38872902 489.26
1326.52511364 489.27
1214.64181633 530.14
1112.75663489 529.11
1020.84725353 532.15
934.942105125 519.29
857.032299513 577.42
785.123033509 553.48
719.188302524 574.61
659.252767065 708.86
603.327253156 648.69
553.380416623 540.5
507.41735043 597.59
463.482278482 685.87
425.521837492 640.05
389.561002571 599.61
357.596682551 602.92
327.611616731 533.89
299.644319218 663.16
273.69350601 662.36
793.101305699 572.13
587.343175755 644.99
435.497357624 636.75
323.617262673 651.19
239.69972825 657.09
177.790462746 672.07
