sqrtom 270.0K

793.101305699 13.625757448
910.979206883 13.5691792021
1046.82871064 13.5039750667
1204.66896299 13.4282159591
1384.46686844 13.3419177641
1592.23190509 13.2421960927
1829.95881734 13.1280935209
2103.65707176 12.996725665
2419.30536333 12.8452229112
2780.88915207 12.6716723449
3196.417937 12.4722296205
3673.89965526 12.243051142
4223.27812623 11.9793641414
4856.58823915 11.6753921931
5581.79460234 11.3273124979
6418.82850163 10.9255585705
7377.79524212 10.4652801344
8482.63155735 9.93498819622
9751.07395385 9.32616970648
11209.4219197 8.62620161293
