sqrtom 240.0K

177.790462746 296.886452705
197.769635023 296.106520844
219.718515354 295.249697006
243.728839427 294.312400081
271.665777414 293.221818963
301.661023011 292.050887186
335.598117741 290.726076474
373.580128009 289.2433634
415.51853034 287.606203676
461.478366559 285.812058249
513.424538153 283.784222776
571.351811614 281.522901558
635.280692805 279.027294104
705.209472603 276.297467133
785.123033509 273.177861806
873.012243763 269.746909095
970.91003272 265.925249036
1080.78997981 261.635838524
1202.65924422 256.878398083
1336.50542497 251.653411814
1486.3481375 245.803965001
1654.14677026 239.253568515
1837.95858184 232.07806163
2045.72197664 223.967550902
2275.46076306 214.999181407
2529.21152956 205.093450342
2812.90157263 194.018972375
3128.46891514 181.700092433
3480.15344462 167.971296982
3871.66568641 152.687737332
4305.20247348 135.763655176
4788.64418151 116.891422349
5326.03949538 95.9129893442
5923.3912071 72.5940236943
6586.66364019 46.7016946354
7325.83287424 17.8465634958
7325.83287424 17.8465634958
8149.04813531 -14.2894930663
9062.07658127 -49.9316090107
10078.7031339 -89.617909718
11209.4219197 -133.758056984
