nu(mhz) 210.0K

19.998 285711426.0
16.457 256564630.0
13.546 226218200.0
11.146 199892364.0
9.1723 165862700.9
9.1723 162111230.2
7.5474 150351755.4
6.2111 124290322.1
5.1125 108124262.5
4.2053 92588090.1
3.4603 78496905.5
2.8495 67789605.0
2.3441 56968662.3
1.9298 48530610.4
1.5877 40410140.4
1.3062 34499354.4
1.0751 28485849.6
0.88446 23891033.52
0.7286 19895880.2
0.5989 16611689.3
0.49302 13845480.66
0.40551 11666522.7
0.33388 9611069.68
0.27502 8086413.06
0.22639 6657224.34
0.18591 5472260.85
0.15313 4491149.77
0.12579 3731308.77
0.10368 3104386.56
0.085089 2549266.44
0.070015 2123134.86
0.057931 1764809.984
0.047686 1449177.54
0.039068 1197277.928
0.032157 983361.06
0.026435 817898.9
0.021739 662409.069
0.017928 554871.6
0.014676 455132.112
0.012097 369333.507
0.0099244 301920.0968
