sqrtom 185.0K

1486.3481375 413.168991918
1654.14677026 354.050306629
1837.95858184 289.28987049
2045.72197664 216.090830963
2275.46076306 135.149438354
2529.21152956 45.7481633878
2812.90157263 -54.2012944876
3128.46891514 -165.381737989
3480.15344462 -289.28696104
3871.66568641 -427.224253071
4305.20247348 -579.967600586
4788.64418151 -750.293411486
5326.03949538 -939.628115318
5923.3912071 -1150.08661115
6586.66364019 -1383.77024485
7325.83287424 -1644.19378111
8149.04813531 -1934.228349
9062.07658127 -2255.90582914
10078.7031339 -2614.08291457
11209.4219197 -3012.45688787
