sqrtom 250.1K

11209.4219197 1.6131
9916.87533591 1.6404
8772.12462617 1.6675
7759.34060143 1.7162
7759.34060143 1.6482
6864.36388707 1.6574
6073.23494595 1.6974
5372.02663023 1.6881
4752.68883679 1.6973
4203.29498908 1.719
3719.87351962 1.7244
3290.37332271 1.7287
2910.71246746 1.7254
2575.1259723 1.7149
2277.46181152 1.7349
2013.76032067 1.7399
1782.01702744 1.7391
1576.24870056 1.7501
1394.43800759 1.7416
1234.62575525 1.7572
1090.77218967 1.7637
964.937941357 1.756
855.050549584 1.7611
755.156870114 1.7545
669.250972821 1.7533
591.325245132 1.7685
523.399349821 1.7599
463.46872181 1.7771
409.540411425 1.7693
361.58927398 1.7609
319.6417937 1.763
283.659075377 1.7535
249.713524389 1.7682
