sqrtom 195.0K

11209.4219197 23.01
10078.7031339 26.996
9062.07658127 33.045
8149.04813531 38.278
7325.83287424 44.107
7325.83287424 45.175
6586.66364019 49.321
5923.3912071 56.509
5326.03949538 63.056
4788.64418151 70.251
5318.070487 77.744
4728.69959621 72.979
4205.31251699 83.862
3739.8356239 79.924
3326.26833064 41.496
2958.67094655 95.023
2631.12401294 133.06
2339.39737246 157.97
2081.67894803 143.88
1849.93582085 186.86
1646.16979414 181.96
1464.37301037 184.18
1302.55461632 189.75
1156.7213628 193.57
1028.8480105 206.63
914.970824851 228.42
815.097548997 221.87
723.195924331 209.66
