sqrtom 210.0K

11209.4219197 14.287
10168.6961111 15.59
9225.61803735 16.7
8368.5353219 17.934
7591.52557745 18.083
7591.52557745 17.674
6886.34248258 19.921
6247.03867936 20.011
5667.69661176 21.149
5140.29952165 22.017
4662.80024432 22.685
4231.3043536 23.79
3837.76167558 24.303
3482.13885504 25.148
3158.45109384 25.452
2864.8030732 26.412
2599.04838811 26.496
2357.37694839 27.012
2139.60950054 27.307
1939.8452723 27.737
1760.03864166 28.083
1596.21254033 28.77
1448.38872902 28.786
1314.53475541 29.403
1192.66521778 29.406
1080.78997981 29.435
980.889477 29.329
889.022991711 29.663
807.118735161 29.942
731.183940334 29.96
663.262556822 30.324
603.316838842 30.464
547.375533394 30.39
495.450788253 30.646
449.497930944 30.58
407.548774499 30.94
369.581067417 30.471
335.62620009 30.95
303.664333711 31.012
275.694926796 30.531
249.713524389 30.422
