beta(0.11) K_dd(1000000000.0

1e-06 4.99999999998e-06
1.26185688307e-06 6.30928441529e-06
1.59228279334e-06 7.96141396663e-06
2.00923300257e-06 1.00461650127e-05
2.53536449397e-06 1.26768224695e-05
3.1992671378e-06 1.59963356884e-05
4.0370172586e-06 2.01850862917e-05
5.09413801482e-06 2.54706900715e-05
6.42807311728e-06 3.21403655813e-05
8.1113083079e-06 4.05565415292e-05
1.0235310219e-05 5.11765510743e-05
1.29154966501e-05 6.45774832092e-05
1.62975083462e-05 8.14875416476e-05
2.05651230835e-05 0.00010282561525
2.5950242114e-05 0.000129751210233
3.27454916288e-05 0.000163727457467
4.13201240012e-05 0.000206600618646
5.214008288e-05 0.000260700411668
6.57933224658e-05 0.00032896660684
8.30217568132e-05 0.000415108773037
0.000104761575279 0.000523807854235
0.000132194114847 0.000660970529708
0.00016681005372 0.00083405017914
0.000210490414451 0.00105245189251
0.000265608778295 0.00132804353032
0.000335160265094 0.00167580059983
0.000422924287439 0.00211461997921
0.000533669923121 0.00266834668618
0.000673415065775 0.00336706944299
0.000849753435909 0.00424875535344
0.00107226722201 0.0053613123487
0.00135304777458 0.00676519113096
0.00170735264747 0.00853666731314
0.00215443469003 0.0107719807176
0.00271858824273 0.0135925539738
0.00343046928631 0.0171515683918
0.00432876128108 0.0216422431913
0.00546227721768 0.0273082453843
0.00689261210435 0.0344567506183
0.00869749002618 0.043474773673
0.0109749876549 0.054849473461
0.0138488637139 0.0691931702737
0.0174752840001 0.0872737037316
0.022051307399 0.110050324047
0.0278255940221 0.138714176441
0.0351119173422 0.17472988821
0.0443062145758 0.219869453614
0.0559081018251 0.276219174104
0.0705480231072 0.346121183651
0.0890215085445 0.431978814681
0.112332403298 0.535809464147
0.141747416293 0.658388247457
0.178864952906 0.797860458898
0.225701971963 0.947965019725
0.284803586844 1.09666256081
0.35938136638 1.22674527898
0.453487850813 1.31973116521
0.572236765935 1.36189481549
0.722080901839 1.3486531115
0.911162756115 1.28476343853
1.1497569954 1.18162415849
1.4508287785 1.05392530149
1.8307382803 0.916379994052
2.31012970008 0.781007359944
2.91505306283 0.655780777915
3.67837977183 0.544785413507
4.64158883361 0.449223943971
5.85702081806 0.368542374766
7.39072203353 0.301305116455
9.32603346883 0.245754731541
11.7681195243 0.200123501241
14.8496826225 0.16278447892
18.7381742286 0.132310152591
23.6448941265 0.107482515234
29.8364724028 0.0872799856563
37.6493580679 0.0708549888144
47.508101621 0.0575092568517
59.9484250319 0.0466702053661
75.6463327555 0.0378697851268
95.4548456662 0.030726220641
120.450354026 0.0249285742677
151.991108295 0.0202238706692
191.791026167 0.0164064484144
242.012826479 0.0133092032921
305.385550883 0.0107964149119
385.352859371 0.00875788594275
486.260158007 0.00710416276342
613.590727341 0.00576264321779
774.263682681 0.00467440991098
977.009957299 0.00379165565249
1232.84673944 0.00307559144174
1555.67614393 0.00249474724047
1963.04065004 0.00202359220757
2477.07635599 0.00164141459908
3125.71584969 0.00133141263016
3944.20605944 0.00107995666948
4977.02356433 0.000875990542867
6280.29144183 0.000710545759038
7924.82898354 0.000576347385395
10000.0 0.000467494298997
