omegatau 210.0K

670410.957803 0.1846995282
503797.173411 0.189788612
378518.358064 0.187780621
284319.550666 0.2033089292
213580.768685 0.207783794
160455.443911 0.2129759911
120518.421507 0.203502165
90541.3498768 0.2119749888
67999.8793284 0.1906249752
51093.7764171 0.203635001
38408.332551 0.201230748
28851.6742981 0.1860595997
21679.5710722 0.1720130731
16266.466894 0.1590890814
12234.8826463 0.1454767056
9191.58297883 0.1026913772
6894.19009262 0.110586231
5175.75496426 0.098624332
3900.8410366 0.0852127552
2930.9610776 0.06925600806
2194.17279724 0.0731611278
1657.55572545 0.0116762006
1236.79725304 0.02774685637
930.154137174 0.02514786456
697.598840931 0.0544675575
524.883706687 0.0260704707
