nu(Mhz) 180.0K

19.998 35.674
15.652 37.449
12.247 40.244
9.5823 40.979
9.5823 46.363
7.4993 52.454
5.8703 55.173
4.593 64.226
3.595 61.44
2.8119 61.522
2.2023 62.602
1.7231 75.414
1.3484 72.82
1.0554 81.8
0.82551 82.685
0.64541 86.708
0.50541 91.227
0.39543 87.256
0.30947 99.924
0.2426 92.84
0.18936 88.017
0.14819 106.73
0.11636 106.13
0.09076 117.3
0.071285 117.41
0.055651 113.3
0.0436 107.74
0.034187 118.04
0.026694 115.56
0.020809 106.89
0.016261 135.52
0.012806 126.28
0.0099244 124.35
